Name,,Publications,publication,Citations,h-index
"456. Biswas, Anindita",,1,2011,9,9
"457. Brahmachari, Arun K.",,1,2011,41,2
"458. Chakraborty, Anindita K.",,1,2016,0,15
"459. Chakravarti, Arani K.",,1,2012,1,3
"460. Chakravarty, Deepita",,1,2016,1,2
"461. Chatterjee, Hirak",,1,2013,0,2
"462. Chatterjee, Krishanu",,1,2016,0,7
"463. Chatterjee, Moitrayee",,1,2012,2,2
"464. Chattoraj, Asamanja",,1,2013,14,13
"465. Choudhuri, Amitava",,1,2011,0,4
"466. Chunari, Soma Sukul Nee",,1,2012,0,0
"467. Das, Sujoy K.",,1,2017,0,4
"468. Dasgupta, Mrinal K.",,1,2012,0,2
"469. Datta, Dip Narayan",,1,2011,13,2
"470. Datta, Jaydeb",,1,2011,0,2
"471. Entel, Peter",,1,2011,0,34
"472. Finger, Michael",,1,2016,4,71
"473. Finger, Mir F.",,1,2016,4,73
"474. Gangopadhyay, Arindam",,1,2011,9,4
"475. Ghosh, Subrata B.",,1,2011,0,7
"476. Golam Ali, Sk",,1,2011,1,2
"477. Gope, Manash",,1,2017,0,0
"478. Goswami, Gurupada",,1,2011,16,6
"479. Jana, Kuladip",,1,2016,2,14
"480. Joshi, Hema Gupta",,1,2014,9,3
"481. Kahar, Biplab",,1,2017,0,0
"482. Kanango, Sukla Deb",,1,2013,0,0
"483. Karmakar, Animesh",,1,2017,0,2
"484. Khatua, Dinesh Chandra",,1,2012,0,2
"Kishor, Preetam",,1,2017,0,0
"Kumar Maji, Tapas",,1,2014,8,4
"Kumar, Balwant Ajay",,1,2017,0,0
"Mahakud, Bibhuprasad",,1,2017,1,9
"Maity, Sharmistha K.",,1,2011,0,4
"Majumdar, Tanmay",,1,2011,9,9
"Majumder, Chiranjib",,1,2013,2,23
"Mermerkaya, H.",,1,2011,44,58
"Mohanty, Ajit Kumar",,1,2016,0,79
"Mondal, Narayan Chandra",,1,2017,0,0
"Mondal, Pradip",,1,2017,0,0
"Mondal, Sunanda",,1,2017,0,0
"Mukherjee, Biswajit",,1,2016,0,3
"Mukherjee, Partha Sarathi Arathi",,1,2016,0,46
"Mukherjee, Prasun B.",,1,2014,0,16
"Mukherjee, Sa",,1,2017,0,0
