University,Faculty Student-17,Faculty Student-18,,,(B2-C2)/B2,(D2)^2,ABS(D2)
Kumamoto University,62.6,71.2,,,-0.137380192,0.018873317,0.137380192
Kyung Hee University,74,71.4,,,0.035135135,0.001234478,0.035135135
Jawaharlal Nehru University,44.2,71.8,,,-0.624434389,0.389918306,0.624434389
Osaka University,83.1,71.9,,,0.134777377,0.018164941,0.134777377
University of St Andrews,73,72,,,0.01369863,0.000187652,0.01369863
National Taiwan Normal University,59.3,73,,,-0.231028668,0.053374245,0.231028668
Kagoshima University,72.6,73.1,,,-0.006887052,4.74315E-05,0.006887052
Ural Federal University,57.8,73.5,,,-0.271626298,0.073780846,0.271626298
National University of Ireland Galway,76.8,73.5,,,0.04296875,0.001846313,0.04296875
Kazan (Volga region) Federal University,74.3,73.7,,,0.00807537,6.52116E-05,0.00807537
University of Toronto,74.5,74.5,,,0,0,0
National University of Sciences And Technology (NUST) Islamabad,63.9,74.6,,,-0.167449139,0.028039214,0.167449139
Tulane University,63.2,74.8,,,-0.183544304,0.033688511,0.183544304
Universidad de Buenos Aires (UBA),65.2,75.1,,,-0.151840491,0.023055535,0.151840491
University of Turku,87.9,75.2,,,0.144482366,0.020875154,0.144482366
Wayne State University,76.6,75.3,,,0.016971279,0.000288024,0.016971279
The University of Manchester,76.9,75.4,,,0.019505852,0.000380478,0.019505852
Howard University,71.4,75.7,,,-0.06022409,0.003626941,0.06022409
Far Eastern Federal University,77.2,76,,,0.015544041,0.000241617,0.015544041
Fudan University,65.6,76.1,,,-0.160060976,0.025619516,0.160060976
Dongguk University,77.1,76.1,,,0.012970169,0.000168225,0.012970169
Hanyang University,86.2,76.3,,,0.114849188,0.013190336,0.114849188
Ruprecht-Karls-Universitaet Heidelberg,69.7,76.6,,,-0.098995696,0.009800148,0.098995696
Pontificia Universidad Católica Argentina Santa María de los Buenos Aires (UCA),72.6,76.9,,,-0.05922865,0.003508033,0.05922865
The Hebrew University of Jerusalem,79.5,77,,,0.031446541,0.000988885,0.031446541
Instituto Tecnológico y de Estudios Superiores de Monterrey,75.6,77.1,,,-0.01984127,0.000393676,0.01984127
McMaster University,68.9,77.2,,,-0.120464441,0.014511682,0.120464441
King Khalid University,67.6,77.4,,,-0.144970414,0.021016421,0.144970414
The Ohio State University,77.2,77.7,,,-0.006476684,4.19474E-05,0.006476684
V. N. Karazin Kharkiv National University,88.4,78,,,0.117647059,0.01384083,0.117647059
Université Paris-Sud,68.1,78.1,,,-0.146842878,0.021562831,0.146842878
Okayama University,76.1,78.2,,,-0.027595269,0.000761499,0.027595269
University of Kansas,76.9,78.2,,,-0.016905072,0.000285781,0.016905072
HUFS - Hankuk (Korea) University of Foreign Studies,75,78.3,,,-0.044,0.001936,0.044
Hallym University,76.8,78.9,,,-0.02734375,0.000747681,0.02734375
University of Tartu,72.9,79.2,,,-0.086419753,0.007468374,0.086419753
University of Bristol,73.8,79.2,,,-0.073170732,0.005353956,0.073170732
CentraleSupélec,88.5,79.4,,,0.102824859,0.010572952,0.102824859
National Taiwan University of Science and Technology (Taiwan Tech),73.8,79.5,,,-0.077235772,0.005965365,0.077235772
Yonsei University,74.5,79.6,,,-0.068456376,0.004686275,0.068456376
Seoul National University,82.1,79.8,,,0.028014616,0.000784819,0.028014616
Umea University,85.5,79.9,,,0.065497076,0.004289867,0.065497076
Eberhard Karls Universität Tübingen,82.3,80.1,,,0.02673147,0.000714572,0.02673147
Brown University,78.2,80.3,,,-0.02685422,0.000721149,0.02685422
University of Jyväskylä,81.7,80.8,,,0.011015912,0.00012135,0.011015912
University of Dundee,82.1,80.9,,,0.014616322,0.000213637,0.014616322
University of Bergen,82,81,,,0.012195122,0.000148721,0.012195122
Martin-Luther-Universität Halle-Wittenberg,70.9,81.3,,,-0.146685472,0.021516628,0.146685472
Novosibirsk State University,86.6,82.4,,,0.048498845,0.002352138,0.048498845
Auezov South Kazakhstan State University (SKSU),69.5,82.5,,,-0.18705036,0.034987837,0.18705036
Sciences Po,84.7,82.5,,,0.025974026,0.00067465,0.025974026
Korea University,82.9,82.8,,,0.001206273,1.45509E-06,0.001206273
