University,International Outlook-15,International Outlook-16,,,B2-C2,B2-C2/B2,,,,ABS
University of the WitwatersrandSouth Africa,66.3,68.4,,,-2.1,-0.031674208,0.001003255,,,0.031674208
University of OsloNorway,60.3,68.2,,,-7.9,-0.131011609,0.017164042,,,0.131011609
Rice UniversityUnited States of America,70.8,66.6,,,4.2,0.059322034,0.003519104,,,0.059322034
University of AmsterdamNetherlands,60.5,66.5,,,-6,-0.099173554,0.009835394,,,0.099173554
Purdue UniversityUnited States of America,64.3,66.4,,,-2.1,-0.032659409,0.001066637,,,0.032659409
University of TurkuFinland,46.3,66.2,,,-19.9,-0.429805616,0.184732867,,,0.429805616
UiT The Arctic University of NorwayNorway,60,66.1,,,-6.1,-0.101666667,0.010336111,,,0.101666667
École Normale Supérieure de LyonFrance,64.4,65.6,,,-1.2,-0.01863354,0.000347209,,,0.01863354
Aalto UniversityFinland,59.4,65.4,,,-6,-0.101010101,0.010203041,,,0.101010101
University of ChicagoUnited States of America,65.2,65,,,0.2,0.003067485,9.40946E-06,,,0.003067485
Paris Diderot University – Paris 7France,67.4,64.9,,,2.5,0.037091988,0.001375816,,,0.037091988
University of AntwerpBelgium,61,64.8,,,-3.8,-0.062295082,0.003880677,,,0.062295082
Vrije Universiteit BrusselBelgium,54.5,64.5,,,-10,-0.183486239,0.0336672,,,0.183486239
Yale UniversityUnited States of America,59.8,64.3,,,-4.5,-0.075250836,0.005662688,,,0.075250836
Leiden UniversityNetherlands,59.5,64.3,,,-4.8,-0.080672269,0.006508015,,,0.080672269
Paris-Sud UniversityFrance,62.7,64.2,,,-1.5,-0.023923445,0.000572331,,,0.023923445
