651-700,,Corvinus University of Budapest
651-700,,Gunma University
651-700,,Hallym University
651-700,,Instituto Tecnológico Autónomo de México (ITAM)
651-700,,Istanbul University
651-700,,Jordan University of Science & Technology
651-700,,Kasetsart University
651-700,,Kazakh-British Technical University
651-700,,Khazar University
651-700,,London Metropolitan University
651-700,,Middlesex University
651-700,,Pontificia Universidad Católica de Valparaíso
651-700,,Pontificia Universidade Católica do Rio Grande do Sul (PUCRS)
651-700,,Qafqaz University
651-700,,Ritsumeikan University
651-700,,Shandong University
651-700,,University of St. Kliment Ohridski
651-700,,Auezov South Kazakhstan State University (SKSU)
651-700,,Southern Methodist University
651-700,,Universidad Adolfo Ibàñez
651-700,,Universidad Autónoma del Estado de México (UAEMex)
651-700,,Universidad Autónoma Metropolitana (UAM)
651-700,,Universidad de Alcalá
651-700,,Universidad Nacional Costa Rica
651-700,,Universidad Nacional de Mar del Plata
651-700,,Universidad Peruana Cayetano Heredia
651-700,,Universidad Simón Bolívar Venezuela
651-700,,Universidade Federal de Santa Catarina
651-700,,Universidade Federal do Paraná (UFPR)
651-700,,Universidade Federal Fluminense
651-700,,University of Modena and Reggio Emilia
651-700,,Université Lumière Lyon 2
651-700,,Université Toulouse 1 Capitole
651-700,,University of Denver
651-700,,"University of Economics, Prague"
651-700,,University of Hertfordshire
651-700,,Plymouth University
651-700,,University of Salford
651-700,,University of Science and Technology Beijing
651-700,,Western Sydney University
651-700,,Yamaguchi University
651-700,,Yokohama National University
701+,,Airlangga University
701+,,Alexandria University
701+,,Alexandru Ioan Cuza University
701+,,Alpen-Adria-Universitaet Klagenfurt
701+,,Aoyama Gakuin University
701+,,Athens University of Economics and Business
701+,,Auburn University
701+,,Babes-Bolyai University
701+,,Baku State University
701+,,Baylor University
701+,,BELARUSSIAN NATIONAL TECHNICAL UNIVERSITY
701+,,Benemérita Universidad Autónoma de Puebla
701+,,Binghamton University SUNY
701+,,Bogor Agricultural University
701+,,Brigham Young University
701+,,Clemson University
701+,,Coventry University
701+,,Cukurova University
701+,,Diponegoro University
701+,,Donetsk National University
701+,,Doshisha University
701+,,Karaganda State University named after academician E.A.Buketov
701+,,Far Eastern Federal University
701+,,Fordham University
701+,,Georgia State University
701+,,Kagoshima University
701+,,Kaunas University of Technology
701+,,Kazakh Ablai khan University of International Relations and World Languages
701+,,Kazakh National Pedagogical University named after Abay
701+,,Kazakh National Technical University named after K.I.Satpaev
701+,,Khon Kaen University
701+,,King Faisal University
701+,,King Mongkut's University of Technology Thonburi
701+,,Kuwait University
701+,,University of Lodz
701+,,Manchester Metropolitan University
701+,,Marquette University
701+,,Miami University
701+,,Lobachevsky University
701+,,"National Technical University  ""Kharkiv Polytechnic Institute"""
701+,,Nicolaus Copernicus University
701+,,Northumbria University at Newcastle
701+,,Nottingham Trent University
701+,,Ochanomizu University
701+,,Ohio University
701+,,Plekhanov Russian University of Economics
701+,,Pontificia Universidad Catolica del Ecuador
701+,,Prince of Songkla University
701+,,Ryerson University
701+,,JSC  “ S.Seifullin Kazakh Agro Technical University”
701+,,Saitama University
701+,,Institute of Technology Sepuluh Nopember
701+,,Shinshu University
701+,,Stevens Institute of Technology
701+,,Robert Gordon University
701+,,Tokai University
701+,,Universidad ANAHUAC
701+,,Universidad Austral de Chile
