Name,,Publications,publication,Citation,h-index
"347. Singh, Rakesh K Gambhir",,1,2015,0,0
"348. Singh, Rameswor M.",,1,2015,0,0
"349. Singh, Ranjit L.",,1,2015,0,0
"350. Singh, Sanjenbam Shyamson",,1,2017,0,0
"351. Singh, Th Jekendra",,1,2013,2,1
"352. Singh, Th Prasanta",,1,2014,5,1
"353. Singh, Th Tejkumar",,1,2011,5,1
"354. Singh, Thangjam Davis",,1,2015,0,0
"355. Singh, Thingbaijam B.",,1,2016,0,0
"356. Singh, Thiyam Jairam",,1,2011,0,0
"357. Singh, Thokchom Naongo",,1,2012,0,0
"358. Singh, Tongbram Shenson",,1,2012,0,0
"359. Singh, W. Binod Kumar",,1,2014,1,1
"360. Singh, W. Joychandra",,1,2017,0,0
"361. Soibam, Ibotombi",,1,2015,0,0
"362. Someshwar Roy, L.",,1,2016,0,0
"363. Soram, Bobby Singh",,1,2012,21,1
"364. Soram, Ranbir",,1,2016,0,0
"365. Subadani, Yumnam",,1,2012,0,0
"366. Subhamenon, S. S.",,1,2015,0,0
"367. Sunil Singh, S.",,1,2011,0,0
"368. Surendra Singh, S.",,1,2013,3,3
"369. Tamrihao, Keishing",,1,2013,4,1
"370. Tejkumar Singh, Th",,1,2012,13,1
"371. Th.Hemananda, L. Bina",,1,2011,2,1
"372. Thingom, Bhavna",,1,2013,1,1
"373. Thoudam, Sonia",,1,2011,1,1
"374. Thounaojam, Bhagirath",,1,2011,0,0
"375. Varam, Yuimi",,1,2011,2,1
"376. Warjeet Singh, L.",,1,2011,29,2
"377. Yumkham, Sanatombi Devi",,1,2011,0,4
"378. Yumnam, Indira",,1,2016,0,0
"379. Yumnam, Sharmeli",,1,2012,0,2
"380. Zhu, Wenyong",,1,2013,4,15
