Data set,"Top 500 authors, by number of publications"
Entity,"Indian Institute of Technology, Kharagpur"
Year range,2011 to 2017
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,24 February 2017
Date exported,17 March 2017

Name,Publications,Most recent publication,Citations,Citations per Publication,Field-Weighted Citation Impact,h-index,Scopus author ID,Scopus author profile
"Patra, Amit",28,2016,149,5.3,1.35,16.0,7102009077,http://www.scopus.com/authid/detail.url?authorId=7102009077
"Bandopadhyay, Aditya",27,2016,188,7.0,1.53,9.0,8422799700,http://www.scopus.com/authid/detail.url?authorId=8422799700
"Bandyopadhyay, Sanjoy",27,2016,163,6.0,0.71,22.0,7402059463,http://www.scopus.com/authid/detail.url?authorId=7402059463
"Biswas, Karabi",27,2016,167,6.2,1.33,7.0,7004722290,http://www.scopus.com/authid/detail.url?authorId=7004722290
"Das, Debapriya K.",27,2017,240,8.9,1.88,18.0,56216961500,http://www.scopus.com/authid/detail.url?authorId=56216961500
"Das, Goutam Tulasi Ram",27,2016,43,1.6,0.53,9.0,55423914100,http://www.scopus.com/authid/detail.url?authorId=55423914100
"DasGupta, Anirvan",27,2016,143,5.3,0.95,13.0,35584686500,http://www.scopus.com/authid/detail.url?authorId=35584686500
"Jha, Madan Kumar",27,2017,167,6.2,1.23,17.0,7005049662,http://www.scopus.com/authid/detail.url?authorId=7005049662
"Maiti, Dipak Kumar",27,2016,225,8.3,2.01,11.0,55976890700,http://www.scopus.com/authid/detail.url?authorId=55976890700
"Mondal, Sourav",27,2017,144,5.3,0.65,10.0,35961382900,http://www.scopus.com/authid/detail.url?authorId=35961382900
"Raghuwanshi, Narendra Singh",27,2017,173,6.4,0.91,20.0,6603867966,http://www.scopus.com/authid/detail.url?authorId=6603867966
"Singh, Shiv Brat",27,2017,203,7.5,0.83,20.0,24446902700,http://www.scopus.com/authid/detail.url?authorId=24446902700
"Anoop, Anakuthil",26,2016,154,5.9,0.68,12.0,6508191130,http://www.scopus.com/authid/detail.url?authorId=6508191130
"Bhattacharya, Jayanta P.",26,2016,139,5.3,0.67,11.0,15080698000,http://www.scopus.com/authid/detail.url?authorId=15080698000
"Das, Karabi G.",26,2017,199,7.7,1.15,21.0,55439680600,http://www.scopus.com/authid/detail.url?authorId=55439680600
"Dhar, Anindya Sundar",26,2017,33,1.3,0.29,5.0,56206679100,http://www.scopus.com/authid/detail.url?authorId=56206679100
"Dutta, Soumen",26,2016,345,13.3,3.47,10.0,55857544000,http://www.scopus.com/authid/detail.url?authorId=55857544000
"Giri, Samir Kumar",26,2016,119,4.6,1.19,7.0,55220981100,http://www.scopus.com/authid/detail.url?authorId=55220981100
"Kumar, Somesh",26,2017,24,0.9,0.37,6.0,55490017200,http://www.scopus.com/authid/detail.url?authorId=55490017200
"Mahata, Chandreswar",26,2014,108,4.2,0.50,11.0,23012551400,http://www.scopus.com/authid/detail.url?authorId=23012551400
