Name,Rank,Affiliation,Web of Science Documents,Category Normalized Citation Impact,Times Cited,% Docs Cited
"Raniwala, R.",310,University of Rajasthan,1,3.03,105,100.0
"Potukuchi, B. V. K. S.",310,University of Jammu,1,3.03,105,100.0
"Singaraju, R. N.",310,Bhabha Atomic Research Center,1,3.03,105,100.0
"Chattopadhyay, S.",310,Bhabha Atomic Research Center,1,3.03,105,100.0
"Roy, Rupak",344,Aryabhatta Research Institute of Observational Sciences,6,1.02,104,100.0
"Misra, K.",344,Aryabhatta Research Institute of Observational Sciences,3,1.59,104,100.0
"Sahayanathan, S.",344,Bhabha Atomic Research Center,11,0.82,104,100.0
"Chandola, H. C.",344,Kumaun University,10,0.85,104,100.0
"Ray, Shamayita",348,Tata Institute of Fundamental Research,4,1.27,103,100.0
"Kuppuswamy, K.",348,Indian Institute of Astrophysics,8,0.77,103,100.0
"Ravindran, S.",350,Vikram Sarabhai Space Center (VSSC),4,1.17,102,100.0
"Dabas, R. S.",350,Council of Scientific & Industrial Research (CSIR) - India,14,0.34,102,100.0
"Ghosh, Sumit",352,SN Bose National Centre for Basic Science,2,3.45,101,100.0
"Srivastava, N.",352,Physical Research Laboratory - India,6,0.85,101,100.0
"Niranjan, K.",354,Andhra University,14,0.39,100,92.86
"Mishra, Chandra Kant",354,Indian Institute of Science (IISC) - Bangalore,6,0.94,100,100.0
"Mishra, Chandra Kant",354,Raman Research Institute,6,0.94,100,100.0
"Umapathy, S.",357,Madurai Kamaraj University,20,0.27,99,90.0
"Alex, S.",357,Indian Institute of Geomagnetism,11,0.42,99,90.91
"Shukla, Pramod",359,Indian Institute of Technology (IIT) - Roorkee,5,1.07,98,100.0
"Dhanya, M. B.",359,Vikram Sarabhai Space Center (VSSC),3,1.39,98,100.0
"Prasad, S. Krishna",361,Indian Institute of Astrophysics,7,0.81,97,100.0
"Pal, Sabyasachi",361,Tata Institute of Fundamental Research,3,1.24,97,66.67
"Paliya, Vaidehi S.",363,Indian Institute of Astrophysics,9,1.06,96,100.0
"Sharma, P.",363,Indian Institute of Science (IISC) - Bangalore,1,5.06,96,100.0
"Pant, T. K.",363,Vikram Sarabhai Space Center (VSSC),18,0.31,96,88.89
"Athreya, R.",363,Indian Institute of Science Education & Research (IISER) - Pune,8,0.76,96,100.0
"Subramanian, Smitha",363,Indian Institute of Astrophysics,5,1.65,96,100.0
"Choudhury, Sayantan",368,Indian Statistical Institute Kolkata,7,1.22,95,100.0
"Veenadhari, B.",368,Indian Institute of Geomagnetism,16,0.42,95,93.75
"Patel, Ketan M.",370,Physical Research Laboratory - India,3,1.73,94,100.0
Badruddin,370,Aligarh Muslim University,16,0.41,94,100.0
"Datta, Amitava",370,Indian Institute of Science Education & Research (IISER) - Kolkata,8,0.7,94,100.0
"Konar, C.",373,Inter-University Centre for Astronomy & Astrophysics,5,0.71,93,100.0
"Majumdar, A. S.",373,SN Bose National Centre for Basic Science,10,0.44,93,90.0
"Gurubaran, S.",373,Indian Institute of Geomagnetism,15,0.4,93,93.33
"Kar, Sayan",376,Indian Institute of Technology (IIT) - Kharagpur,10,0.55,92,90.0
"Santhi, M. Vijaya",376,Andhra University,5,0.72,92,100.0
"Mathew, Shibu K.",376,Physical Research Laboratory - India,10,0.44,92,90.0
"Saini, Tarun Deep",376,Indian Institute of Science (IISC) - Bangalore,10,0.43,92,100.0
"Vinutha, T.",376,Andhra University,8,0.44,92,100.0
"Maurya, Sunil Kumar",376,Indian Institute of Technology (IIT) - Roorkee,4,1.08,92,100.0
"Reddy, Bacham E.",376,Indian Institute of Astrophysics,5,0.81,92,100.0
"Kumar, Sanjay",383,Banaras Hindu University,7,0.63,91,100.0
"Bose, Subhash",383,Aryabhatta Research Institute of Observational Sciences,5,1.64,91,100.0
"Dutta, Prasun",383,Indian Institute of Technology (IIT) - Kharagpur,7,0.51,91,85.71
"Udaya-Shankar, N.",386,Raman Research Institute,1,5.85,90,100.0
"Bhattacharjee, Pijushpani",386,Saha Institute of Nuclear Physics,6,1.15,90,100.0
"Pal, Supratik",386,Indian Statistical Institute Kolkata,15,0.47,90,86.67
"Ali, Sk. Saiyad",386,Jadavpur University,5,1.18,90,100.0
"Sengupta, Dipan",390,Tata Institute of Fundamental Research,5,1.37,89,100.0
"Sreeja, V.",391,Vikram Sarabhai Space Center (VSSC),8,0.47,88,100.0
"Smitha, H. N.",392,Indian Institute of Astrophysics,10,0.46,87,100.0
"Kolekar, Sanved",392,Inter-University Centre for Astronomy & Astrophysics,6,0.82,87,83.33
"Kaul, Romesh K.",392,Institute of Mathematical Sciences (IMSc) India,6,0.78,87,100.0
"Jain, Chetana",392,University of Delhi,10,0.39,87,90.0
"Bhuyan, P. K.",392,Dibrugarh University,7,0.54,87,85.71
"Dadhich, Naresh",397,Jamia Millia Islamia,11,0.77,86,100.0
"Prasad, D. S. V. V. D.",398,Andhra University,10,0.44,84,90.0
"Joshi, Y. C.",398,Aryabhatta Research Institute of Observational Sciences,11,0.44,84,90.91
"Arun, K. G.",398,Raman Research Institute,3,1.3,84,66.67
"Joshi, H. P.",401,Saurashtra University,4,1.01,83,75.0
"Vedantham, Harish",401,Raman Research Institute,2,2.14,83,100.0
"Mahapatra, Swapna",401,Utkal University,1,3.83,83,100.0
"Paranjape, Aseem",401,Tata Institute of Fundamental Research,5,0.78,83,100.0
"Goldstein, Kevin",401,Tata Institute of Fundamental Research,1,3.83,83,100.0
"Basu, Aritra",406,Tata Institute of Fundamental Research,6,0.89,82,100.0
"Rao, P. V. S. Rama",406,Andhra University,9,0.46,82,88.89
"Bhattacherjee, Biplob",408,Tata Institute of Fundamental Research,4,1.13,81,100.0
"Prasad, Jayanti",408,Inter-University Centre for Astronomy & Astrophysics,6,0.93,81,100.0
"Aich, Moumita",408,Inter-University Centre for Astronomy & Astrophysics,3,1.61,81,100.0
"Manoj, C.",408,Council of Scientific & Industrial Research (CSIR) - India,2,1.53,81,100.0
"Manoj, C.",408,National Geophysical Research Institute - India,2,1.53,81,100.0
"Bhattacharya, Dipankar",413,Inter-University Centre for Astronomy & Astrophysics,8,0.76,80,100.0
"Medhi, Biman J.",413,Aryabhatta Research Institute of Observational Sciences,7,0.5,80,100.0
"Samal, Pramoda Kumar",413,Indian Institute of Technology (IIT) - Kanpur,3,1.04,80,100.0
"Louis, Rohan E.",413,Physical Research Laboratory - India,5,0.8,80,100.0
"Pandey, A. K.",413,Tata Institute of Fundamental Research,3,0.99,80,100.0
"Ghosh, Abhik",413,Indian Institute of Technology (IIT) - Kharagpur,3,1.31,80,100.0
"Chamandy, Luke",413,Inter-University Centre for Astronomy & Astrophysics,5,1.31,80,100.0
"Rajaguru, S. P.",413,Indian Institute of Astrophysics,5,1.14,80,100.0
"Roy, S.",413,Tata Institute of Fundamental Research,2,2.06,80,100.0
"Jain, Rajmal",413,Physical Research Laboratory - India,17,0.21,80,94.12
"Eswaraiah, C.",423,Aryabhatta Research Institute of Observational Sciences,10,0.49,79,100.0
"Misra, Kuntal",423,Aryabhatta Research Institute of Observational Sciences,6,1.11,79,100.0
"Roy, Probir",423,Saha Institute of Nuclear Physics,4,1.1,79,100.0
"Tibrewala, Rakesh",423,Tata Institute of Fundamental Research,4,0.7,79,100.0
"Nandi, Kamal K.",427,University of North Bengal,11,0.57,78,100.0
"Adhav, K. S.",427,Sant Gadge Baba Amravati University,12,0.45,78,91.67
"Adhikary, Biswajit",429,Saha Institute of Nuclear Physics,3,1.33,77,100.0
"Ghosh, Tanwi",429,Indian Association for the Cultivation of Science,6,0.65,77,100.0
"Ghosh, Tanwi",429,Indian Association for the Cultivation of Science (IACS) - Jadavpur,6,0.65,77,100.0
"Deb, Sukanta",429,University of Delhi,7,0.67,77,100.0
"Anandarao, B. G.",433,Physical Research Laboratory - India,9,0.5,76,88.89
"Borah, Debasish",433,Tezpur University,11,0.89,76,100.0
"Sriramkumar, L.",433,Indian Institute of Technology (IIT) - Madras,7,1.05,76,100.0
"Kariyappa, R.",433,Indian Institute of Astrophysics,9,0.45,76,88.89
"Gupta, N.",433,Inter-University Centre for Astronomy & Astrophysics,7,1.3,76,100.0
"Iyer, B.",433,Raman Research Institute,1,4.9,76,100.0
"Mishra, C. Kant",433,Raman Research Institute,1,4.9,76,100.0
"Reddy, R. V.",433,Indian Institute of Geomagnetism,5,0.84,76,100.0
"Srivastava, A. K.",441,Banaras Hindu University,19,0.51,75,100.0
"Hossain, Md. Wali",441,Jamia Millia Islamia,4,1.7,75,100.0
"Athreya, R.",441,Tata Institute of Fundamental Research,2,1.45,75,100.0
"Roy, D. P.",444,Tata Institute of Fundamental Research,6,0.87,74,100.0
"Date, Ghanashyam",444,Institute of Mathematical Sciences (IMSc) India,5,0.73,74,100.0
"Banerjee, Arunima",444,Indian Institute of Science (IISC) - Bangalore,4,0.78,74,100.0
"Yadav, Jaswant K.",447,Indian Institute of Science Education & Research (IISER) - Mohali,1,10.18,73,100.0
"Bagiya, Mala S.",447,Saurashtra University,1,3.33,73,100.0
"Gupta, Y.",447,Tata Institute of Fundamental Research,8,0.43,73,87.5
"Sharma, S.",447,Indian Institute of Science Education & Research (IISER) - Pune,1,11.16,73,100.0
"Singh, H. P.",447,University of Delhi,2,1.63,73,100.0
"Kumar, R.",447,Panjab University,1,11.16,73,100.0
"Aggarwal, M.",447,Saurashtra University,1,3.33,73,100.0
"Bhowmik, S.",447,Tata Institute of Fundamental Research,1,11.16,73,100.0
"Penzo, A.",447,Tata Institute of Fundamental Research,1,11.16,73,100.0
"Gaur, Haritma",447,University of Gorakhpur,4,0.96,73,100.0
"Bhattacharyya, Nabanita",447,Indian Institute of Science Education & Research (IISER) - Kolkata,7,0.52,73,100.0
"Muzahid, S.",447,Inter-University Centre for Astronomy & Astrophysics,6,0.68,73,100.0
"Murthy, J.",447,Indian Institute of Astrophysics,6,0.68,73,100.0
"Chand, Hum",460,Aryabhatta Research Institute of Observational Sciences,13,0.35,72,84.62
"Trivedi, Pranjal",460,University of Delhi,3,1.63,72,100.0
"Subramanian, K.",460,Inter-University Centre for Astronomy & Astrophysics,2,1.69,72,50.0
"Chakrabarty, D.",460,Physical Research Laboratory - India,10,0.57,72,100.0
"Kale, Ruta",464,Raman Research Institute,8,0.41,71,87.5
"Kulkarni, Shailesh",464,SN Bose National Centre for Basic Science,3,1.11,71,100.0
"Misra, R.",464,Inter-University Centre for Astronomy & Astrophysics,16,0.26,71,81.25
"Mathur, Savita",464,Indian Institute of Astrophysics,2,1.44,71,100.0
"Gopakumar, A.",464,Tata Institute of Fundamental Research,7,0.59,71,100.0
"Maurya, R. A.",469,Physical Research Laboratory - India,7,0.47,70,85.71
"Khan, Manoranjan",469,Jadavpur University,6,0.48,70,100.0
"Gurugubelli, U. K.",471,Indian Institute of Astrophysics,4,0.71,69,100.0
"Saha, Rajib",471,Indian Institute of Technology (IIT) - Kanpur,4,0.7,69,100.0
"Das, Debottam",471,Indian Association for the Cultivation of Science,5,0.59,69,100.0
"Das, Debottam",471,Indian Association for the Cultivation of Science (IACS) - Jadavpur,5,0.59,69,100.0
"Chaudhury, Soumini",471,Saha Institute of Nuclear Physics,3,1.74,69,100.0
"Goswami, Aruna",476,Indian Institute of Astrophysics,8,0.44,68,100.0
"Bhatt, V. K.",476,Aryabhatta Research Institute of Observational Sciences,3,1.47,68,100.0
"Roy, R.",476,Aryabhatta Research Institute of Observational Sciences,3,0.94,68,100.0
"Biswas, Ritabrata",476,Jadavpur University,9,0.39,68,100.0
"Majumdar, Suman",476,Indian Institute of Technology (IIT) - Kharagpur,5,0.71,68,100.0
"Samui, Saumyadip",476,Inter-University Centre for Astronomy & Astrophysics,4,0.67,68,100.0
"Sutaria, Firoza",476,Indian Institute of Astrophysics,6,1.08,68,100.0
"Chitre, S. M.",476,University of Mumbai,7,0.39,68,85.71
"Nityanada, Rajaram",476,Tata Institute of Fundamental Research,1,3.18,68,100.0
"Dev, Abha",476,University of Delhi,1,0.92,68,100.0
"Sharma, Mahavir",476,Raman Research Institute,6,0.65,68,100.0
"Bagchi, Joydeep",476,Inter-University Centre for Astronomy & Astrophysics,5,0.76,68,100.0
"Shastri, P.",476,Indian Institute of Astrophysics,7,0.37,68,100.0
"Shankaranarayanan, S.",489,Indian Institute of Science Education & Research (IISER) - Thiruvananthapuram,14,0.34,67,85.71
"Jose, J.",489,Indian Institute of Astrophysics,5,0.84,67,100.0
"Dutta, Anjan",489,University of Delhi,5,0.53,67,100.0
"Barve, Indrajit V.",489,Indian Institute of Astrophysics,8,0.44,67,100.0
"Ghosh, Subir",489,Indian Statistical Institute Kolkata,9,0.5,67,100.0
"Das, H. S.",489,Assam University,12,0.32,67,83.33
"Jog, C. J.",495,Indian Institute of Science (IISC) - Bangalore,6,0.56,66,100.0
"Sahu, Satyabrata",495,Tata Institute of Fundamental Research,5,1.08,66,100.0
"Rajarshi, C.",495,Inter-University Centre for Astronomy & Astrophysics,5,1.42,66,100.0
"Modi, D.",495,Inter-University Centre for Astronomy & Astrophysics,5,1.42,66,100.0
"Khodade, P.",495,Inter-University Centre for Astronomy & Astrophysics,5,1.42,66,100.0
"Saripalli, Lakshmi",495,Raman Research Institute,6,0.44,66,83.33
"Misra, Kuntal",495,Inter-University Centre for Astronomy & Astrophysics,5,0.47,66,100.0
"Reddy, Arumalla B. S.",495,Indian Institute of Astrophysics,3,1.57,66,100.0
"Jain, Chetana",495,Raman Research Institute,5,0.53,66,100.0
"Ram, Shri",495,Banaras Hindu University,5,0.72,66,100.0
"Pandey, Kanhaiya",495,Raman Research Institute,2,1.56,66,100.0
"Bhattacharyya, A.",506,Indian Institute of Geomagnetism,7,0.53,65,100.0
"Nair, Remya",506,Jamia Millia Islamia,6,0.74,65,100.0
"Maurya, S. K.",508,Indian Institute of Technology (IIT) - Roorkee,6,0.5,64,100.0
"Hayama, K.",508,Inter-University Centre for Astronomy & Astrophysics,1,2.6,64,100.0
"Kumar, S. Rathna",508,Indian Institute of Astrophysics,4,1.54,64,100.0
"Mondal, Tanmoy",508,Physical Research Laboratory - India,5,1.41,64,100.0
"Dhurandhar, Sanjeev",512,Inter-University Centre for Astronomy & Astrophysics,5,0.64,63,100.0
"Goswami, J. N.",512,Physical Research Laboratory - India,6,0.52,63,100.0
"Challis, P.",512,Tata Institute of Fundamental Research,1,5.44,63,100.0
"Chengalur, J. N.",512,Tata Institute of Fundamental Research,5,0.89,63,100.0
"Burse, Mahesh",516,Inter-University Centre for Astronomy & Astrophysics,3,1.59,62,66.67
"Dewangan, G. C.",516,Inter-University Centre for Astronomy & Astrophysics,12,0.27,62,83.33
"Das, Hillol",516,Inter-University Centre for Astronomy & Astrophysics,3,1.59,62,66.67
"Chordia, Pravin",516,Inter-University Centre for Astronomy & Astrophysics,3,1.59,62,66.67
"Konar, C.",516,Tata Institute of Fundamental Research,2,1.17,62,100.0
"Borah, Rashmi Rekha",516,Dibrugarh University,1,2.33,62,100.0
"Sahu, Devendra K.",516,Indian Institute of Astrophysics,2,2.24,62,100.0
"Pace, G.",516,Aryabhatta Research Institute of Observational Sciences,1,2.35,62,100.0
"Singh, L. P.",516,Utkal University,8,0.46,62,100.0
"Joshi, Bhuwan",516,Physical Research Laboratory - India,5,0.59,62,100.0
"Mitra, P.",516,Saha Institute of Nuclear Physics,7,0.56,62,100.0
"Rao, Soumya",516,Physical Research Laboratory - India,1,3.01,62,100.0
"Janardhan, P.",516,Physical Research Laboratory - India,10,0.43,62,90.0
"Kulkami, Shailesh",516,SN Bose National Centre for Basic Science,1,3.53,62,100.0
"Chauhan, Neelam",516,Aryabhatta Research Institute of Observational Sciences,2,1.32,62,100.0
"Borah, Debasish",531,Indian Institute of Technology (IIT) - Bombay,5,0.71,61,100.0
"Vats, Hari Om",531,Physical Research Laboratory - India,6,0.44,61,83.33
"Singh, J.",531,Indian Institute of Astrophysics,4,0.69,61,75.0
"Gupta, Gaveshna",531,Jamia Millia Islamia,5,0.62,61,100.0
"Bhatt, H. C.",531,Indian Institute of Astrophysics,11,0.31,61,100.0
"Chakraborty, Sumanta",531,Inter-University Centre for Astronomy & Astrophysics,6,1.12,61,100.0
"Pandey, Gajendra",531,Indian Institute of Astrophysics,6,0.44,61,83.33
"Choudhury, S. B. Dutta",531,Jadavpur University,3,0.72,61,100.0
"Mangalam, A.",531,Indian Institute of Astrophysics,12,0.39,61,91.67
"Kundu, Anirban",531,University of Calcutta,4,0.89,61,100.0
"Beig, G.",531,Indian Institute of Tropical Meteorology (IITM),3,0.92,61,100.0
"Paul, Sourabh",531,Raman Research Institute,3,2.76,61,100.0
"Das, Suratna",543,Tata Institute of Fundamental Research,5,0.9,60,100.0
"Kumar, B.",543,Aryabhatta Research Institute of Observational Sciences,7,0.54,60,100.0
"Mathew, Blesson",543,Indian Institute of Astrophysics,5,0.47,60,100.0
"Mitra, Dipanjan",543,Tata Institute of Fundamental Research,4,0.85,60,100.0
"Sinha, Aninda",543,Indian Institute of Science (IISC) - Bangalore,7,0.68,60,100.0
"Shukurov, Anvar",548,Inter-University Centre for Astronomy & Astrophysics,3,1.68,59,100.0
"Awasthi, A. K.",548,Physical Research Laboratory - India,6,0.87,59,100.0
"Vigeesh, G.",548,Indian Institute of Astrophysics,3,0.91,59,100.0
"Nath, B. B.",548,Raman Research Institute,1,1.09,59,100.0
"Pandey, Biswajit",548,Inter-University Centre for Astronomy & Astrophysics,3,0.77,59,100.0
"Sharma, M.",548,Raman Research Institute,1,1.09,59,100.0
"Khurana, Deepak",548,Indian Institute of Technology (IIT) - Kharagpur,3,0.92,59,100.0
"Das, Tirtha Pratim",548,Vikram Sarabhai Space Center (VSSC),4,0.8,59,100.0
"Padmanabhan, Hamsa",548,Inter-University Centre for Astronomy & Astrophysics,7,0.72,59,85.71
"Deshpande, Avinash A.",557,Raman Research Institute,9,0.47,58,100.0
"Kundu, Susmita",557,Saha Institute of Nuclear Physics,3,1.57,58,100.0
"Ray, Saibal",557,Inter-University Centre for Astronomy & Astrophysics,2,1.02,58,100.0
"Bhatt, B.",557,Indian Institute of Astrophysics,1,2.72,58,100.0
"Paliya, Vaidehi S.",561,University of Calicut,7,1.01,57,100.0
"Ghosh, Diptimoy",561,Tata Institute of Fundamental Research,2,1.66,57,100.0
"Hossain, Md Wali",561,Jamia Millia Islamia,4,1.44,57,100.0
"Bhandari, N.",561,Physical Research Laboratory - India,5,0.54,57,100.0
"Sengupta, Sandipan",561,Institute of Mathematical Sciences (IMSc) India,4,0.72,57,100.0
"Shahalam, M.",561,Jamia Millia Islamia,5,0.9,57,100.0
"Chakradhari, N. K.",561,Pt. Ravishankar Shukla University,6,0.57,57,100.0
"Jotania, Kanti",561,Maharaja Sayajirao University Baroda,4,0.86,57,100.0
"Mallick, K. K.",561,Tata Institute of Fundamental Research,8,0.72,57,100.0
"Rajaguru, P.",561,Indian Institute of Astrophysics,1,2.32,57,100.0
"Srivastava, Rahul",561,Institute of Mathematical Sciences (IMSc) India,4,2.77,57,100.0
"Sreelatha, P.",561,Vikram Sarabhai Space Center (VSSC),4,0.63,57,100.0
"Balachandran, A. P.",573,Institute of Mathematical Sciences (IMSc) India,3,1.51,56,100.0
"Laddha, Alok",573,Raman Research Institute,3,1.06,56,100.0
"Jose, Jessy",573,Aryabhatta Research Institute of Observational Sciences,3,0.86,56,100.0
"Datta, Kanan K.",573,Indian Institute of Technology (IIT) - Kharagpur,4,0.57,56,100.0
"Srivastava, Abhishek K.",573,Aryabhatta Research Institute of Observational Sciences,7,0.47,56,85.71
"Ram, S. Tulasi",573,Indian Institute of Geomagnetism,9,0.59,56,88.89
"Gupta, S. K.",573,Tata Institute of Fundamental Research,8,0.5,56,100.0
"Mohanty, P. K.",573,Tata Institute of Fundamental Research,8,0.5,56,100.0
"Gupta, Ranjan",573,Inter-University Centre for Astronomy & Astrophysics,10,0.25,56,100.0
"Gaur, H.",573,Aryabhatta Research Institute of Observational Sciences,2,1.27,56,100.0
"Ahmed, S. M.",583,Vikram Sarabhai Space Center (VSSC),3,0.88,55,100.0
"Supriya, Gogulapati",583,Vikram Sarabhai Space Center (VSSC),3,0.88,55,100.0
"Vivek, M.",583,Cochin University Science & Technology,3,0.9,55,100.0
"Jain, R.",583,Physical Research Laboratory - India,5,0.95,55,100.0
"Lala, Arindam",583,SN Bose National Centre for Basic Science,2,1.81,55,100.0
"Banerjee, Narayan",583,Jadavpur University,2,1.22,55,100.0
"Devasia, C. V.",583,Vikram Sarabhai Space Center (VSSC),6,0.38,55,100.0
"Giri, Kinsuk",583,SN Bose National Centre for Basic Science,4,0.73,55,100.0
"Saini, N. S.",583,Guru Nanak Dev University,6,0.66,55,100.0
"Chatterjee, Piyali",583,Tata Institute of Fundamental Research,3,0.72,55,100.0
