University,Faculty Student-14,Faculty Student-15,FS-14,FS-15,b2-c2,B2/D2,E2^2,,ABS
Kagoshima University,60.4,68,,,-7.6,-0.1258278146,0.0158326389,,0.1258278146
Universiti Kebangsaan Malaysia (UKM),60.4,50.1,,,10.3,0.1705298013,0.0290804131,,0.1705298013
Tallinn University of Technology,59.8,48.2,,,11.6,0.1939799331,0.0376282144,,0.1939799331
University of Glasgow,59.5,64.4,,,-4.9,-0.0823529412,0.0067820069,,0.0823529412
Sogang University,59.3,50.5,,,8.8,0.1483979764,0.0220219594,,0.1483979764
Osaka Prefecture University,59.2,56.2,,,3,0.0506756757,0.0025680241,,0.0506756757
Keio University,59.1,57.5,,,1.6,0.027072758,0.0007329342,,0.027072758
University of Lausanne,59,95.2,,,-36.2,-0.613559322,0.3764550417,,0.613559322
Lund University,59,58.1,,,0.9,0.0152542373,0.0002326918,,0.0152542373
"University of California, San Diego (UCSD)",58.1,66.8,,,-8.7,-0.1497418244,0.022422614,,0.1497418244
Vilnius University,58.1,62.9,,,-4.8,-0.082616179,0.006825433,,0.082616179
WHU - Otto Beisheim School of Management,57.9,45.6,,,12.3,0.2124352332,0.0451287283,,0.2124352332
University of Washington,57.8,54.1,,,3.7,0.0640138408,0.0040977718,,0.0640138408
University of Ulsan,57.5,63.5,,,-6,-0.1043478261,0.0108884688,,0.1043478261
National Taipei University of Technology,57.4,52.5,,,4.9,0.0853658537,0.007287329,,0.0853658537
University of New Hampshire,57.3,55.5,,,1.8,0.0314136126,0.0009868151,,0.0314136126
University of Aberdeen,57.1,65.3,,,-8.2,-0.1436077058,0.0206231732,,0.1436077058
Technische UniversitÃ¤t Braunschweig,56.7,64.6,,,-7.9,-0.139329806,0.0194127948,,0.139329806
Sofia University St. Kliment Ohridski,56.7,45.1,,,11.6,0.2045855379,0.0418552423,,0.2045855379
Chonbuk National University,56.5,56.9,,,-0.4,-0.007079646,5.01213877359226E-005,,0.007079646
George Mason University,56.5,43.1,,,13.4,0.2371681416,0.0562487274,,0.2371681416
UniversitÃ¤t Jena,56.3,70.1,,,-13.8,-0.2451154529,0.0600815853,,0.2451154529
Universidad de Belgrano,56.2,70.3,,,-14.1,-0.2508896797,0.0629456314,,0.2508896797
University of Leeds,56.2,57.9,,,-1.7,-0.0302491103,0.0009150087,,0.0302491103
University of Tartu,56,67.5,,,-11.5,-0.2053571429,0.0421715561,,0.2053571429
Institut National des Sciences AppliquÃ©es de Lyon (INSA),55.7,59.5,,,-3.8,-0.0682226212,0.004654326,,0.0682226212
Universitas Indonesia,55.7,43.6,,,12.1,0.2172351885,0.0471911271,,0.2172351885
University of Iowa,55.5,52.4,,,3.1,0.0558558559,0.0031198766,,0.0558558559
The University of Warwick,55.4,62.4,,,-7,-0.1263537906,0.0159652804,,0.1263537906
UniversitÃ¤t Bremen,55.2,53.7,,,1.5,0.027173913,0.0007384216,,0.027173913
Southern Methodist University,54.4,52.9,,,1.5,0.0275735294,0.0007602995,,0.0275735294
"University of California, Los Angeles (UCLA)",54.1,74.2,,,-20.1,-0.3715341959,0.1380376587,,0.3715341959
Gwangju Institute of Science and Technology (GIST),53.8,43.2,,,10.6,0.1970260223,0.0388192535,,0.1970260223
Smith College,53.6,42.4,,,11.2,0.2089552239,0.0436622856,,0.2089552239
University of Baghdad,53.5,57.6,,,-4.1,-0.076635514,0.005873002,,0.076635514
Jagiellonian University,53.3,50.1,,,3.2,0.0600375235,0.0036045042,,0.0600375235
Aarhus University,53.3,43.3,,,10,0.1876172608,0.0352002365,,0.1876172608
Virginia Commonwealth University,52.9,56.5,,,-3.6,-0.0680529301,0.0046312013,,0.0680529301
