# RANK     2014,UNIVERSITY,OVERALL SCORE,Academic Reputation,Employer Reputation,Faculty Student,International Faculty,International Students,Citations per Faculty
249,King Saud University,46.2,40.3,44.8,90.6,96.7,23.7,6.7
249,American University of Beirut (AUB),46.2,27.5,87.6,64.8,98.2,78.3,22.7
249,University Ulm,46.2,19.5,14.2,85.3,46.2,34.1,78.9
253,Instituto Tecnológico y de Estudios Superiores de Monterrey,46.1,44,91.3,64.1,71,40.5,4.1
254,Macquarie University,45.8,47.5,69.1,16.9,100,85.8,35.7
254,University of Navarra,45.8,34.7,68.3,80.2,26.4,49.3,25.9
256,National Yang Ming University,45.6,24.9,17.7,99.1,11,10.9,64.2
257,Mahidol University,45.5,52.6,35.6,84.4,14.2,8.8,13.7
257,"The University of Newcastle, Australia (UON)",45.5,49.1,63.8,27.3,92.7,40.7,36
259,Universiti Kebangsaan Malaysia (UKM),45.4,52.1,39.5,60.4,95.1,42.5,7.9
259,University of Oulu,45.4,34.9,8.8,72.1,64.3,12.8,61.1
261,"University of California, Riverside",45.2,36.4,29.9,23.8,87.5,37.9,82.4
262,Università di Padova,45.1,69.8,27.8,27.3,3.8,10.6,40.7
262,Universidad de los Andes,45.1,64.3,84.6,29.4,36.2,3.5,14.8
264,University of Technology Sydney,45,44.3,88.8,26.1,94.9,91.9,18.9
265,Loughborough University,44.9,39.3,69.6,42.4,80.4,67.7,31.1
265,"University of California, Santa Cruz",44.9,36.6,36.7,20,61.9,3.7,95.9
267,Umea University,44.8,38.3,30.3,77.3,27.5,5.1,46.1
267,University of Eastern Finland,44.8,29.6,21.6,80.4,39.3,14.5,59.5
269,Technische Universität Darmstadt,44.7,36.9,88.2,25.7,57.7,59.1,50.1
269,University of Iowa,44.7,35.4,17.4,55.5,10.7,30.6,77.5
271,Universidade Federal do Rio de Janeiro,44.5,68.5,42.9,41.2,13.3,5.6,17.7
272,Indiana University Bloomington,44.4,59.5,57.1,33.3,1,32,32.5
272,Université de Liège,44.4,34.1,46.5,69.6,43.7,65.4,33.4
274,Universität Stuttgart,44.3,41.3,60.1,67.8,37.3,67.1,14.6
275,Victoria University of Wellington,44.2,49.2,67,18.8,100,68.7,27.7
275,Kyung Hee University,44.2,39,61.5,82.2,16.2,41.1,15
275,Royal Holloway University of London,44.2,33,32.9,38.4,96.5,98.3,51.1
278,Université Paris Descartes,44,39.9,23.8,17.9,18.5,42.4,94.9
279,Rutgers University - New Brunswick,43.7,50.4,28.7,45.6,27.4,25.1,44.3
280,National University of Ireland Galway,43.6,37.3,43.8,62.2,91.8,50.6,23.4
280,Yeshiva University,43.6,6.5,10.7,97.8,1.8,18,96.5
282,University of Massachusetts Amherst,43.5,47.2,36.3,26.4,26,15.2,67.8
283,Linköping University,43.4,37.8,66,64,37.6,17.2,30
283,University of Wollongong,43.4,31.3,84.4,35.6,99.7,69.3,33.7
285,Queensland University of Technology (QUT),43.2,46.1,76.7,22.2,97.6,52.1,25.1
285,Friedrich-Alexander-Universität Erlangen-Nürnberg,43.2,40.5,39.7,55.6,40.6,25,42.7
287,Universidad Austral,43.1,40.1,63.1,93.3,8.4,16.2,3.9
