University,N&S-16,N&S-17,,,,,,,
University of Pennsylvania,39.4,38.7,,,0.7,0.0177664975,0.0003156484,,0.0177664975
New York University,39.5,38.4,,,1.1,0.0278481013,0.0007755167,,0.0278481013
Duke University,38.9,37.8,,,1.1,0.028277635,0.0007996246,,0.028277635
University of Colorado at Boulder,36.8,37.1,,,-0.3,-0.0081521739,6.64579395085085E-005,,0.0081521739
University of Copenhagen,36.2,36.6,,,-0.4,-0.0110497238,0.0001220964,,0.0110497238
The University of Texas at Austin,37,35.9,,,1.1,0.0297297297,0.0008838568,,0.0297297297
Tsinghua University,32.5,35.2,,,-2.7,-0.0830769231,0.0069017751,,0.0830769231
Northwestern University,35.6,34.1,,,1.5,0.0421348315,0.001775344,,0.0421348315
Weizmann Institute of Science,35.5,33.9,,,1.6,0.0450704225,0.002031343,,0.0450704225
University of Wisconsin - Madison,35,33.4,,,1.6,0.0457142857,0.0020897959,,0.0457142857
University of Bristol,34.2,33.3,,,0.9,0.0263157895,0.0006925208,,0.0263157895
"University of Minnesota, Twin Cities",32.5,33.1,,,-0.6,-0.0184615385,0.0003408284,,0.0184615385
Swiss Federal Institute of Technology Lausanne,30.3,33,,,-2.7,-0.0891089109,0.007940398,,0.0891089109
"University of Maryland, College Park",32.8,31.9,,,0.9,0.0274390244,0.0007529001,,0.0274390244
University of North Carolina at Chapel Hill,32.6,31.8,,,0.8,0.0245398773,0.0006022056,,0.0245398773
Kyoto University,31.5,31.8,,,-0.3,-0.0095238095,9.07029478458054E-005,,0.0095238095
University of Munich,29.4,31.6,,,-2.2,-0.074829932,0.0055995187,,0.074829932
University of British Columbia,32.7,31.2,,,1.5,0.0458715596,0.0021042,,0.0458715596
"University of California, Davis",32,31.2,,,0.8,0.025,0.000625,,0.025
University of Illinois at Urbana-Champaign,33.1,30.8,,,2.3,0.0694864048,0.0048283605,,0.0694864048
Baylor College of Medicine,31.3,30.7,,,0.6,0.0191693291,0.0003674632,,0.0191693291
The University of Edinburgh,31.3,29.7,,,1.6,0.0511182109,0.0026130715,,0.0511182109
"University of California, Santa Cruz",32.4,29.5,,,2.9,0.0895061728,0.008011355,,0.0895061728
University Paris Diderot - Paris 7,31.7,29.5,,,2.2,0.0694006309,0.0048164476,,0.0694006309
Heidelberg University,30.6,28.8,,,1.8,0.0588235294,0.0034602076,,0.0588235294
The University of Manchester,26.4,28.7,,,-2.3,-0.0871212121,0.0075901056,,0.0871212121
Pennsylvania State University - University Park,30.5,28.6,,,1.9,0.062295082,0.0038806772,,0.062295082
University of Zurich,28.7,28.2,,,0.5,0.0174216028,0.0003035122,,0.0174216028
Pierre and Marie  Curie University - Paris 6,29.7,28,,,1.7,0.0572390572,0.0032763097,,0.0572390572
University of Geneva,28.6,27.5,,,1.1,0.0384615385,0.0014792899,,0.0384615385
University of Arizona,27.3,27.3,,,0,0,0,,0
McGill University,27.5,27.1,,,0.4,0.0145454545,0.0002115702,,0.0145454545
Peking University,24.5,27,,,-2.5,-0.1020408163,0.0104123282,,0.1020408163
"University of California, Santa Barbara",27.3,26.7,,,0.6,0.021978022,0.0004830335,,0.021978022
Utrecht University,25.9,26.7,,,-0.8,-0.0308880309,0.0009540705,,0.0308880309
University of Virginia,27.3,26.1,,,1.2,0.043956044,0.0019321338,,0.043956044
Aix Marseille University,24,25.9,,,-1.9,-0.0791666667,0.0062673611,,0.0791666667
University of Utah,26.6,25.7,,,0.9,0.0338345865,0.0011447792,,0.0338345865
The University of Queensland,26,25.6,,,0.4,0.0153846154,0.0002366864,,0.0153846154
University of Basel,23.7,25.5,,,-1.8,-0.0759493671,0.0057683064,,0.0759493671
Purdue University - West Lafayette,24.4,25.4,,,-1,-0.0409836066,0.001679656,,0.0409836066
"Rutgers, The State University of New Jersey - New Brunswick",25.4,25.2,,,0.2,0.0078740157,6.20001240002476E-005,,0.0078740157
Uppsala University,24.8,25,,,-0.2,-0.0080645161,6.5036420395421E-005,,0.0080645161
Aarhus University,25.6,24.8,,,0.8,0.03125,0.0009765625,,0.03125
University of Bern,23,24.8,,,-1.8,-0.0782608696,0.0061247637,,0.0782608696
Boston University,26.9,24.7,,,2.2,0.0817843866,0.0066886859,,0.0817843866
The Australian National University,23,24.5,,,-1.5,-0.0652173913,0.0042533081,,0.0652173913
Oregon Health and Science University,22.8,24.5,,,-1.7,-0.0745614035,0.0055594029,,0.0745614035
Georgia Institute of Technology,22.1,24.3,,,-2.2,-0.0995475113,0.009909707,,0.0995475113
"University of California, Irvine",28.1,24.2,,,3.9,0.1387900356,0.019262674,,0.1387900356
Michigan State University,24.2,24.2,,,0,0,0,,0
Icahn School of Medicine at Mount Sinai,22.9,24.2,,,-1.3,-0.056768559,0.0032226693,,0.056768559
Karolinska Institute,25.1,23.7,,,1.4,0.0557768924,0.0031110617,,0.0557768924
University of Massachusetts Medical School - Worcester,23.9,23.7,,,0.2,0.0083682008,7.00267852453559E-005,,0.0083682008
Osaka University,26,23.6,,,2.4,0.0923076923,0.0085207101,,0.0923076923
Technical University Munich,23.3,23.4,,,-0.1,-0.0042918455,1.84199377406096E-005,,0.0042918455
KU Leuven,21.2,22.9,,,-1.7,-0.0801886792,0.0064302243,,0.0801886792
The University of Melbourne,24.8,22.8,,,2,0.0806451613,0.006503642,,0.0806451613
Monash University,22.3,22.8,,,-0.5,-0.0224215247,0.0005027248,,0.0224215247
Yeshiva University,21.3,22.7,,,-1.4,-0.0657276995,0.0043201305,,0.0657276995
University of Helsinki,22.8,22.6,,,0.2,0.0087719298,7.69467528470293E-005,,0.0087719298
Arizona State University,22.8,22.5,,,0.3,0.0131578947,0.0001731302,,0.0131578947
University of Southampton,20.6,22.2,,,-1.6,-0.0776699029,0.0060326138,,0.0776699029
Emory University,21.8,22.1,,,-0.3,-0.0137614679,0.000189378,,0.0137614679
University of Goettingen,20.6,22.1,,,-1.5,-0.072815534,0.005302102,,0.072815534
