University,Teaching-16,Teaching-17,,,B2-C2,D2/B2,,,,ABS()
Technical University of MunichGermany,61,61,,,0,0,0,,,0
Georgia Institute of TechnologyUnited States,57.8,60.8,,,-3,-0.0519031142,0.0026939333,,,0.0519031142
Washington University in St LouisUnited States,54.3,60.7,,,-6.4,-0.1178637201,0.0138918565,,,0.1178637201
University of MinnesotaUnited States,53.5,60.3,,,-6.8,-0.1271028037,0.0161551227,,,0.1271028037
Boston UniversityUnited States,57.8,60.2,,,-2.4,-0.0415224913,0.0017241173,,,0.0415224913
Ã‰cole Normale SupÃ©rieureFrance,70.6,59.8,,,10.8,0.1529745042,0.023401199,,,0.1529745042
Ã‰cole PolytechniqueFrance,53.5,58.6,,,-5.1,-0.0953271028,0.0090872565,,,0.0953271028
Dartmouth CollegeUnited States,50.7,58.6,,,-7.9,-0.1558185404,0.0242794175,,,0.1558185404
University of ManchesterUnited Kingdom,58.4,58.2,,,0.2,0.0034246575,1.17282792268713E-005,,,0.0034246575
Free University of BerlinGermany,57.9,58.1,,,-0.2,-0.0034542314,1.19317147962216E-005,,,0.0034542314
University of SÃ£o PauloBrazil,60.9,57.2,,,3.7,0.0607553366,0.0036912109,,,0.0607553366
Purdue UniversityUnited States,50.2,57.2,,,-7,-0.1394422311,0.0194441358,,,0.1394422311
KU LeuvenBelgium,59.9,57,,,2.9,0.0484140234,0.0023439177,,,0.0484140234
Ohio State UniversityUnited States,51.6,57,,,-5.4,-0.1046511628,0.0109518659,,,0.1046511628
Georgetown UniversityUnited States,54.4,56.7,,,-2.3,-0.0422794118,0.0017875487,,,0.0422794118
Delft University of TechnologyNetherlands,55,56.2,,,-1.2,-0.0218181818,0.0004760331,,,0.0218181818
"Korea Advanced Institute of Science and Technology (KAIST)Korea, Republic of",43.3,55.7,,,-12.4,-0.2863741339,0.0820101446,,,0.2863741339
Pennsylvania State UniversityUnited States,50.4,55.6,,,-5.2,-0.1031746032,0.0106449987,,,0.1031746032
Fudan UniversityChina,44.7,55.3,,,-10.6,-0.2371364653,0.0562337032,,,0.2371364653
